"Nachname";"Vorname";"Benutzername";"Bearbeitungsdauer";"Umfrage beendet";"Semesterzahl";"Semesterzahl";"Präferenz bzgl. Präsenz- vs. Online-Veranstaltungen";"Vorlesungen";"Vorlesungen";"Übungen";"Übungen";"Tutorien";"Tutorien";"Seminare";"Seminare";"Wichtigkeit der Verfügbarkeit des CIP-Pools";"Verfügbarkeit des CIP-Pools";"Verfügbarkeit des CIP-Pools"
"";"";"";"38";"26. Aug 2021, 14:10";"Fachsemester 5 oder höher";"3";"";"definitiv online";"5";"Enthaltung";"6";"definitiv in Präsenz";"1";"definitiv in Präsenz";"1";"";"wichtig";"2"
"";"";"";"221";"26. Aug 2021, 14:17";"Fachsemester 5 oder höher";"3";"";"Enthaltung";"6";"Enthaltung";"6";"Enthaltung";"6";"lieber online";"4";"";"nicht so wichtig";"4"
"";"";"";"107";"26. Aug 2021, 14:15";"Fachsemester 3-4";"2";"";"definitiv online";"5";"lieber online";"4";"lieber online";"4";"lieber online";"4";"";"irrelevant";"5"
"";"";"";"33";"26. Aug 2021, 18:20";"Fachsemester 3-4";"2";"";"definitiv online";"5";"definitiv online";"5";"definitiv online";"5";"definitiv online";"5";"";"irrelevant";"5"
"";"";"";"52";"26. Aug 2021, 14:32";"Fachsemester 3-4";"2";"";"lieber in Präsenz";"2";"definitiv in Präsenz";"1";"keine Präferenz";"3";"definitiv in Präsenz";"1";"";"wichtig";"2"
"";"";"";"87";"26. Aug 2021, 15:42";"Fachsemester 3-4";"2";"";"definitiv online";"5";"lieber online";"4";"lieber online";"4";"keine Präferenz";"3";"";"egal";"3"
"";"";"";"620";"26. Aug 2021, 17:12";"Fachsemester 3-4";"2";"";"lieber online";"4";"lieber online";"4";"lieber online";"4";"lieber online";"4";"";"irrelevant";"5"
"";"";"";"61";"26. Aug 2021, 17:36";"Fachsemester 3-4";"2";"";"lieber online";"4";"definitiv online";"5";"definitiv online";"5";"definitiv online";"5";"";"irrelevant";"5"
"";"";"";"124";"26. Aug 2021, 19:53";"Fachsemester 3-4";"2";"";"lieber online";"4";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"";"egal";"3"
"";"";"";"4";"-";"keine Angabe";"4";"übersprungen";"";"";"";"";"";"";"";"";"übersprungen";"";""
"";"";"";"362";"26. Aug 2021, 21:22";"Fachsemester 5 oder höher";"3";"";"lieber online";"4";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"";"wichtig";"2"
"";"";"";"58";"-";"Fachsemester 5 oder höher";"3";"";"keine Präferenz";"3";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"übersprungen";"";""
"";"";"";"28";"27. Aug 2021, 13:35";"Fachsemester 5 oder höher";"3";"";"keine Präferenz";"3";"definitiv in Präsenz";"1";"definitiv in Präsenz";"1";"definitiv in Präsenz";"1";"";"sehr wichtig";"1"
"";"";"";"6684";"29. Aug 2021, 15:38";"Fachsemester 5 oder höher";"3";"";"lieber online";"4";"lieber online";"4";"lieber online";"4";"lieber online";"4";"";"wichtig";"2"
"";"";"";"59";"29. Aug 2021, 20:55";"Fachsemester 5 oder höher";"3";"";"lieber in Präsenz";"2";"definitiv in Präsenz";"1";"definitiv in Präsenz";"1";"definitiv in Präsenz";"1";"";"irrelevant";"5"
"";"";"";"45";"02. Sep 2021, 13:09";"Fachsemester 1-2";"1";"";"lieber online";"4";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"keine Präferenz";"3";"";"keine Angabe";"6"
"";"";"";"57";"06. Sep 2021, 11:32";"Fachsemester 3-4";"2";"";"definitiv online";"5";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"";"keine Angabe";"6"
"";"";"";"61";"07. Sep 2021, 04:57";"Fachsemester 5 oder höher";"3";"";"Enthaltung";"6";"Enthaltung";"6";"Enthaltung";"6";"lieber online";"4";"";"nicht so wichtig";"4"
"";"";"";"67";"07. Sep 2021, 16:05";"Fachsemester 5 oder höher";"3";"";"definitiv online";"5";"definitiv online";"5";"definitiv online";"5";"definitiv online";"5";"";"egal";"3"
"";"";"";"30";"-";"Fachsemester 1-2";"1";"übersprungen";"";"";"";"";"";"";"";"";"übersprungen";"";""
"";"";"";"29";"12. Sep 2021, 15:05";"Fachsemester 3-4";"2";"";"keine Präferenz";"3";"keine Präferenz";"3";"keine Präferenz";"3";"keine Präferenz";"3";"";"egal";"3"
"";"";"";"35";"12. Sep 2021, 15:16";"Fachsemester 3-4";"2";"";"lieber online";"4";"definitiv in Präsenz";"1";"lieber in Präsenz";"2";"keine Präferenz";"3";"";"wichtig";"2"
"";"";"";"60";"12. Sep 2021, 15:47";"Fachsemester 5 oder höher";"3";"";"definitiv online";"5";"lieber online";"4";"definitiv online";"5";"definitiv online";"5";"";"sehr wichtig";"1"
"";"";"";"66";"12. Sep 2021, 17:52";"Fachsemester 5 oder höher";"3";"";"definitiv online";"5";"keine Präferenz";"3";"keine Präferenz";"3";"lieber online";"4";"";"egal";"3"
"";"";"";"123";"13. Sep 2021, 13:41";"Fachsemester 3-4";"2";"";"definitiv online";"5";"definitiv online";"5";"definitiv online";"5";"definitiv online";"5";"";"nicht so wichtig";"4"
"";"";"";"46";"14. Sep 2021, 22:41";"Fachsemester 1-2";"1";"";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"lieber in Präsenz";"2";"";"sehr wichtig";"1"
"";"";"";"188";"15. Sep 2021, 13:32";"Fachsemester 3-4";"2";"";"definitiv online";"5";"definitiv online";"5";"keine Präferenz";"3";"definitiv online";"5";"";"nicht so wichtig";"4"
"";"";"";"112";"-";"Fachsemester 1-2";"1";"";"lieber online";"4";"lieber in Präsenz";"2";"keine Präferenz";"3";"lieber in Präsenz";"2";"übersprungen";"";""
